series,panel,drawing_index,pdf_x_pt,pdf_y_pt,age,value
consumption,A,86,219.12751007080078,158.96827697753906,57.85737553122808,34.232422991791395
consumption,A,87,219.8790054321289,158.96827697753906,58.10175143822057,34.232422991791395
consumption,A,88,222.13450622558594,158.6627655029297,58.835209128696796,34.89253108305786
consumption,A,89,222.88650512695312,158.6627655029297,59.07974877995182,34.89253108305786
consumption,A,90,225.1420135498047,158.6627655029297,59.81320895140173,34.89253108305786
consumption,A,91,226.26800537109375,158.6627655029297,60.17936593220774,34.89253108305786
consumption,A,92,228.5240020751953,158.6627655029297,60.912984885972854,34.89253108305786
consumption,A,93,229.2760009765625,158.6627655029297,61.15752453722788,34.89253108305786
consumption,A,94,231.530517578125,158.3570098876953,61.89066218210002,35.55316668054047
consumption,A,95,232.2825164794922,158.3570098876953,62.13520183335506,35.55316668054047
consumption,A,96,234.53750610351562,158.3570098876953,62.86849329859506,35.55316668054047
consumption,A,97,235.2895050048828,158.3570098876953,63.1130329498501,35.55316668054047
consumption,A,98,237.54351806640625,158.3570098876953,63.846006850459695,35.55316668054047
consumption,A,99,238.29551696777344,158.3570098876953,64.09054650171474,35.55316668054047
consumption,A,100,240.5500030517578,158.3570098876953,64.82367422269218,35.55316668054047
consumption,A,101,241.302001953125,158.3570098876953,65.06821387394722,35.55316668054047
consumption,A,102,243.55699157714844,158.3570098876953,65.80150533918722,35.55316668054047
consumption,A,103,244.6840057373047,158.3570098876953,66.16799477046568,35.55316668054047
consumption,A,104,246.94000244140625,158.3570098876953,66.9016137242308,35.55316668054047
consumption,A,105,247.6909942626953,158.3570098876953,67.14582588696072,35.55316668054047
consumption,A,106,249.9459991455078,158.3570098876953,67.87912231414808,35.55316668054047
consumption,A,107,250.69801330566406,158.3570098876953,68.12366692735046,35.55316668054047
consumption,A,108,252.95350646972656,158.3570098876953,68.85712213685301,35.55316668054047
consumption,A,109,253.70449829101562,158.3570098876953,69.10133429958293,35.55316668054047
consumption,A,110,255.96001434326172,158.3570098876953,69.83479695200651,35.55316668054047
consumption,A,111,256.7110290527344,158.3570098876953,70.07901655765747,35.55316668054047
consumption,A,112,258.9660186767578,158.3570098876953,70.81230802289747,35.55316668054047
consumption,A,113,260.09352111816406,158.3570098876953,71.17895623649115,35.55316668054047
consumption,A,114,262.3480224609375,158.3570098876953,71.91208891941594,35.55316668054047
consumption,A,115,263.1000213623047,158.3570098876953,72.15662857067097,35.55316668054047
consumption,A,116,265.3550109863281,158.3570098876953,72.88992003591098,35.55316668054047
consumption,A,117,266.1065216064453,158.3570098876953,73.1343009048508,35.55316668054047
consumption,A,118,268.3620300292969,158.6627655029297,73.86776107630071,34.89253108305786
consumption,A,119,269.113525390625,158.6627655029297,74.11213698329318,34.89253108305786
consumption,A,120,271.36851501464844,158.6627655029297,74.84542844853318,34.89253108305786
